"Time [ms]","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='66'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='66'"
256,-0.000868555847481403,-0.00286749381653674,-0.00173261744416924,-0.00573513092879831,-0.00390656890928334,-0.0128208719721594
260,-0.000670765889719025,-0.00224974806281969,-0.00133926125217524,-0.00449331564741228,-0.00298509857033723,-0.00998270252398999
264,-0.000526078337747618,-0.00178575824504648,-0.00104658802273569,-0.00356108608884806,-0.00231384712470881,-0.007855634224644
268,-0.000418912981133294,-0.00143271450788955,-0.000830883936641132,-0.00285351427353089,-0.00181921790246555,-0.00624526091036893
272,-0.000337613912788229,-0.0011631390426796,-0.000668511251957956,-0.00231406859805044,-0.00145268808539088,-0.00500643267284632
276,-0.000274447670833665,-0.000954592045764973,-0.000544151896725217,-0.00189547909245233,-0.00117106337113057,-0.00404852843407277
280,-0.000225409121214428,-0.000791567136034168,-0.000447893033784306,-0.00156775433159754,-0.000956863352800076,-0.00331210204279268
284,-0.00018731289337218,-0.0006615859795419,-0.00037219726143895,-0.00131118698765946,-0.000790425643869809,-0.00274314489946387
288,-0.000157647780445638,-0.000557850647789119,-0.000312922330970174,-0.00110393684119701,-0.000660383694243229,-0.00230318157099669
292,-0.000134121857785516,-0.00047547441814779,-0.000265041280983401,-0.000936337619871817,-0.000557567701773714,-0.00196825276709488
296,-0.00011466332645319,-0.000407035482731997,-0.00022605515569217,-0.000799960975041485,-0.000473212370841748,-0.00167359114070255
300,-9.97250240440912E-005,-0.000350105143411283,-0.000193847837348683,-0.000686416275429911,-0.000405847465579116,-0.00143448803990582
304,-8.61579408866147E-005,-0.000303565389840325,-0.000167802723704599,-0.000594813392943956,-0.000348876957134144,-0.00123778934304002
308,-7.48094999539236E-005,-0.000264279863565263,-0.000146014282941701,-0.000519081113897201,-0.00030306424755404,-0.00107459000905518
312,-6.49901721168894E-005,-0.000231959713504141,-0.000127446278106836,-0.000455091603397114,-0.000264246703807256,-0.000945076772345336
316,-5.72641982274852E-005,-0.000204406908387373,-0.000112071401636428,-0.000401447422677754,-0.000232056596500396,-0.000825845407094516
320,-5.10889072862975E-005,-0.00018098132614009,-9.90070887576503E-005,-0.000354703298143329,-0.00020353362474184,-0.000732361640636904
324,-4.48876199797415E-005,-0.000160754254006242,-8.76065763304514E-005,-0.000314581525608433,-0.000180068749356289,-0.00064380681534891
328,-3.99103738997037E-005,-0.000143175608893868,-7.79155893383621E-005,-0.000280036178819985,-0.000160611793891705,-0.000572031189161185
332,-3.602123869155E-005,-0.000128033326557442,-6.95770733658048E-005,-0.00025097530012773,-0.000143900102063836,-0.000514525433390378
336,-3.18771318501775E-005,-0.000114983199978812,-6.25697840402161E-005,-0.000225079592357304,-0.000128562268773133,-0.000460164368032631
340,-2.89827895687096E-005,-0.000103511427297998,-5.62437537718931E-005,-0.000202783252987455,-0.00011539775167001,-0.000412391659120837
344,-2.62183449929042E-005,-9.34731894251343E-005,-5.08716303138689E-005,-0.00018305604774096,-0.000104001355645008,-0.000374377465432039
348,-2.37396790898624E-005,-8.46642435574959E-005,-4.606470634562E-005,-0.000165741825140648,-9.38196292107231E-005,-0.000337435196540227
352,-2.14875735869322E-005,-7.68517460176091E-005,-4.16067117612061E-005,-0.000150423130784689,-8.51863456318668E-005,-0.000306742636358993
356,-1.95753432850106E-005,-6.99087769430403E-005,-3.78042002637148E-005,-0.000136797034451743,-7.72149693643924E-005,-0.000277323441819401
360,-1.76577370896619E-005,-6.3740247528106E-005,-3.44589465292257E-005,-0.00012471158422167,-7.04376168720227E-005,-0.000252550157877389
364,-1.61680254220604E-005,-5.8291044072746E-005,-3.17476905039616E-005,-0.00011376326081243,-6.43644988378116E-005,-0.000230830500140291
368,-1.49310161174215E-005,-5.34150447808674E-005,-2.88403562891014E-005,-0.000104218417334885,-5.89123628322565E-005,-0.000212336987021485
